   [38;2;150;108;75m-[38;2;150;108;75m\ 
Multiple apps found matching input criteria. Please refine the input.
Name                                  Id                                  Version
TreeSize Free                         JAMSoftware.TreeSizeFree            4.4.2
Ultrasearch                           JAMSoftware.Ultrasearch             2.3.2
The Silver Searcher                   JFLarvoire.Ag                       2.2.3
Conan                                 JFrog.Conan                         1.26.0
Draw                                  JGraph.Draw                         13.0.3
Inno Setup                            JRSoftware.InnoSetup                6.0.5
Appium                                JSFoundation.Appium                 1.15.1
JabRef                                JabRef.JabRef                       5.0
Jackett                               Jackett.Jackett                     0.16.613
SPIM                                  JamesLarus.SPIM                     9.1.21
NBTExplorer                           Jaquadro.NBTExplorer                2.8.0
Color Cop                             JayPrall.ColorCop                   5.4.3
Toolbox                               JetBrains.Toolbox                   1.17.7018.0
KDiff3                                JoachimEibl.KDiff3                  0.9.98
Pandoc                                JohnMacFarlane.Pandoc               2.9.2.1
Joplin                                Joplin.Joplin                       1.0.216
Julia                                 Julialang.Julia                     1.4.1
SUMo                                  KCSoftwares.SUMo                    5.11.1.460
KDE Connect                           KDE.KDEConnect                      1.4-264
KDiff3                                KDE.KDiff3                          1.8.2
Kate                                  KDE.Kate                            20.04.1
Kdenlive                              KDE.Kdenlive                        20.04.1
Krita                                 KDE.Krita                           4.3.0
Marble                                KDE.Marble                          2.2.0
Okular                                KDE.Okular                          20.04.1-295
KKBOX                                 KKBOX.KKBOX                         7.2.52
kebler                                Kebler.Kebler                       0.4.0.0
KeePassXC                             KeePassXCTeam.KeePassXC             2.5.4
KeeWeb                                KeeWeb.KeeWeb                       1.15.5
Keybase                               Keybase.Keybase                     5.6.0-2020052...
Vulkan SDK for Windows                KhronosGroup.VulkanSDK              1.2.135.0
KiCad EDA                             KiCad.KiCad                         5.1.6
KiCad Lite EDA                        KiCad.KiCadLite                     5.1.6
CMake                                 Kitware.CMake                       3.17.2
Krisp                                 Krisp.Krisp                         1.14.3
LBRY                                  LBRY.LBRY                           0.45.2
